Full name (Model),Location,Bar code/RFID (Asset),Serial # (Asset),Quantity,System Host name,Record origination
/HARDWARE ACCESSORIES/RACK ACCESSORIES/GENERIC RACK HOLDER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/,6065507,6065507,1,,Physical Inventory
/HARDWARE ACCESSORIES/RACK ACCESSORIES/GENERIC RACK HOLDER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/,6065508,6065508,1,,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/,6065497,USE110N8S8,1,6065497,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/,6065498,USE110N8S7,1,6065498,Purchase order
/HARDWARE STORAGE/STORAGE AREA NETWORKS (SAN)/INFINIDAT INFINIBOX F2240/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/,6010017,IBOX2792,1,,Purchase order
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R210 II SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6008634,7NQLBY1,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/CHASSIS/CISCO SYSTEMS CATALYST 6509 CHASSIS/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6008716,SMG1032NTSR,1,L3_MWHC6509-00,Physical inventory
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/CHECK POINT 13500 APPLIANCE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6065509,4741060,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/CISCO SYSTEMS ASA5515-X ADAPTIVE SECURITY APPLIANCE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6008835,FTX182310Z4,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/CISCO SYSTEMS VEDGE-2000-AC/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6008832,26OE1120180003,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 2600 SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6065511,JAB0425821F,1,,Manual
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 2960 48 PORT SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6008807,FOC1339V1JV,1,,Physical inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS SF302-08P 8-PORT 10 100 POE MANAGED SWITCH WITH GIGABIT UPLINKS/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6008613,PSZ17180525,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/LOAD BALANCERS/F5 NETWORKS 1500 LTM/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6008833,F5-FPND-XHZB,1,,Manual
/HARDWARE NETWORK EQUIPMENT/ROUTERS/CISCO SYSTEMS ASR1002/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6065510,FOX1924GRBN,1,,Purchase order
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT03/,6065512,LN13251L0282,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/CONCENTRATORS/ARRAY NETWORKS AG1150 SECURE ACCESS GATEWAY/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065514,1527G8072,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/CONCENTRATORS/ARRAY NETWORKS AG1150 SECURE ACCESS GATEWAY/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065515,1527G8090,1,,Physical inventory
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/CHECK POINT 13500 APPLIANCE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065513,4741070,1,,Physical inventory
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/CISCO SYSTEMS ASA5510 ADAPTIVE SECURITY APPLIANCE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008592,JMX1205L0U5,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/CISCO SYSTEMS ASA5510 ADAPTIVE SECURITY APPLIANCE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008869,JMX1213L00F,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/CISCO SYSTEMS ASA5555-X ADAPTIVE SECURITY APPLIANCE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008624,FTX1934107U,1,,Manual
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/CISCO SYSTEMS ASA5555-X ADAPTIVE SECURITY APPLIANCE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008777,FTX1934107S,1,,Manual
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 2960 SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065516,FOC1252WOBT,1,,Physical inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 2960 SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065517,FOC1116Z765,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 2960-X 48 PORT/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065518,FOC2004S4E3,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 2960-X 48 PORT/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065519,FCW2008A4M0,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 3850 48 PORT POE LAN BASE (WS-C38/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008680,GT52230045,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 3850 48 PORT POE LAN BASE (WS-C38/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008681,GT52230093,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 3850 48 PORT POE LAN BASE (WS-C38/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008696,GT52230021,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 3850 48 PORT POE LAN BASE (WS-C38/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008964,GT52230069,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/ROUTERS/CISCO SYSTEMS 7204VXR/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6008789,SAL0751QRBJ,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/ROUTERS/CISCO SYSTEMS ASR1002/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065520,FOX1925GMH5,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/ROUTERS/CISCO SYSTEMS ASR1002/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT04/,6065521,FOX1925GMV9,1,,Physical Inventory
