Full name (Model),Bar code/RFID (Asset),Serial # (Asset),Quantity,System Host name,Record origination
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE 2970 SERVER/,6008557,95QTLJ1,1,,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE 2970 SERVER/,6008632,J1B45K1,1,6008632,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE 2970 SERVER/,6008647,HFL5YH1,1,QPASS-PROD-MONDB-4,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE 2970 SERVER/,6008649,2VPRZK1,1,3406125,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE 2970 SERVER/,6008796,6FL5YH1,1,6008796,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE 2970 SERVER/,6008882,55QTLJ1,1,PROD-DBMGMT-1A,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE 2970 SERVER/,6008943,17DBLJ1,1,6008943,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE 2970 SERVER/,6008961,72B45K1,1,6008961,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R200 SERVER/,6008864,3VV0MJ1,1,ATT-PET-TEST-3.MSPROD,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R200 SERVER/,6008883,BK40MJ1,1,QPASS-PET-BOAR-1,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008549,3VXYRK1,1,6008549,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008605,BVXYRK1,1,6008605,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008648,HTCZRK1,1,6008648,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008663,FWCZRK1,1,3406702,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008706,JTXYRK1,1,6008706,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008728,CTXYRK1,1,6008728,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008795,5VXYRK1,1,3406708,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008893,6VXYRK1,1,6008893,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008897,GTXYRK1,1,6008897,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R610 SERVER/,6008958,5WXYRK1,1,6008958,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R860 SERVER/,6008837,6QKYQD1,1,6008837,Manual
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R905 SERVER/,6065487,JK9VLJ1,1,6065487,Manual
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY INTEGRITY RX3600 SERVER/,6008755,USE49067ML,1,QPASS-PROD-MONAPP-2,Manual
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL360 G3 SERVER/,6008935,M078LGP52P,1,6008935,Manual
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL380 G3 SERVER/,6008633,D349LDN4H505,1,,Manual
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6008815,2M212501A3,1,QPSIMMGRSRV6C,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065473,USE115N82Q,1,6065473,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065474,USE115N82T,1,6065474,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065475,USE115N831,1,6065475,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065476,USE115N832,1,6065476,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065477,USE115N82X,1,6065477,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065478,USE115N830,1,6065478,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065479,USE115N82S,1,6065479,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065480,USE115N82R,1,6065480,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065481,USE115N82V,1,6065481,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065482,USE115N82Z,1,6065482,Clarity
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065483,USE113N58V,1,6065483,Manual
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065484,USE113N58Z,1,6065484,ED
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065485,USE113N58X,1,6065485,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065491,USE239F5R6,1,QPASS-PROD-VMWARE-104,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065492,USE239F5R4,1,QPASS-PROD-VMWARE-103,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065493,USE239F5R8,1,QPASS-PROD-VMWARE-102,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065494,USE239F5RA,1,QPASS-PROD-VMWARE-101,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL385 SERVER/,6065495,USE239F5RB,1,ATT-PET-VMWARE-108,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL585 SERVER/,6008698,USE341H4JE,1,,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL585 SERVER/,6008724,USE341H4L5,1,,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL585 SERVER/,6008733,USE341H4JK,1,,Purchase order
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL380P G8 SERVER/,6065488,2M23150214,1,,Purchase order
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL380P G8 SERVER/,6065489,2M23150217,1,,Purchase order
